,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,card,label
0,1.34750875352068E+018,Fri Jan 08 11:41:36 +0000 2021,1.34750875352068E+018,1.34750875352068E+018,@ItsMeKande අඩෝ Nazi Naran Hybrid ද ? 😂,False,"[12, 39]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsMeKande', 'name': 'Darshana K', 'id': 1257356014380126208, 'id_str': '1257356014380126208', 'indices': [0, 11]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.34750739099686E+018,1.34750739099686E+018,1.25735601438013E+018,1.25735601438013E+018,ItsMeKande,1.27975680701612E+018,1.27975680701612E+018,,,,,False,0,1,1,0,1.34750739099686E+018,1.34750739099686E+018,False,False,cs,,,,,,,,,,0
1,1.36092953871727E+018,Sun Feb 14 12:31:01 +0000 2021,1.36092953871727E+018,1.36092953871727E+018,@Jude_H_Fernando අඩෝ කොලුකාර ජුඩා bro many happy returns of the day cosine stay safe stay happy 😊,False,"[0, 97]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jude_H_Fernando', 'name': 'Dr. John H. Watson', 'id': 911206472956223488, 'id_str': '911206472956223488', 'indices': [0, 16]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,9.11206472956224E+017,9.11206472956224E+017,Jude_H_Fernando,9.96060592354902E+017,9.96060592354902E+017,,,,,False,1,2,1,0,1.36092953871727E+018,1.36092953871727E+018,False,False,en,,,,,,,,,,0
2,1.36846725819691E+018,Sun Mar 07 07:43:13 +0000 2021,1.36846725819691E+018,1.36846725819691E+018,"අපිට අද දවසේ මේ වගේ ආතල් එකක් දුන්නට Ex ලට ගොඩක් පිං 
#Exගේරසකතා",False,"[0, 64]","{'hashtags': [{'text': 'Exගේරසකතා', 'indices': [54, 64]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.01532341739277E+018,1.01532341739277E+018,,,,,False,0,6,1,1,1.36846725819691E+018,1.36846725819691E+018,False,False,si,,,,,,,,,,0
3,1.36658360361059E+018,Tue Mar 02 02:58:15 +0000 2021,1.36658360361059E+018,1.36658360361059E+018,"@EnThunga මන් පාවිච්චි කරන්නෙ Sony WF-1000XM3. 
ඇක්ටිව් නොයිස් කැන්සලින් තියෙනව, සවුන්ඩ් කොලිටි එක පට්ට!!

එකම අවුල හිමින් කෝල් එකක කතාකරද්දි මයික් සෙන්සිටිවිටි එක මදිකම තමයි.",False,"[10, 175]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EnThunga', 'name': 'N1pun4', 'id': 812297402656899077, 'id_str': '812297402656899077', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.36657308274422E+018,1.36657308274422E+018,8.12297402656899E+017,8.12297402656899E+017,EnThunga,9.55051442183684E+017,9.55051442183684E+017,,,,,False,0,4,1,0,1.36657308274422E+018,1.36657308274422E+018,False,False,si,,,,,,,,,,0
4,1.36625611116731E+018,Mon Mar 01 05:16:55 +0000 2021,1.36625611116731E+018,1.36625611116731E+018,@gim_Rathnayaka_ @sasini0211 අඩෝ අඩෝ එපා 😅,False,"[29, 42]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gim_Rathnayaka_', 'name': '✨_ගිම්සි_Гим _✍🏻_\U0001f90e\U0001f90d_✨', 'id': 1256116522415796224, 'id_str': '1256116522415796224', 'indices': [0, 16]}, {'screen_name': 'sasini0211', 'name': 'Sasini Nilanka', 'id': 1217778551048392709, 'id_str': '1217778551048392709', 'indices': [17, 28]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.36625576507861E+018,1.36625576507861E+018,1.2561165224158E+018,1.2561165224158E+018,gim_Rathnayaka_,1.2515324234074E+018,1.2515324234074E+018,,,,,False,0,2,1,0,1.36624444209761E+018,1.36624444209761E+018,False,False,si,,,,,,,,,,0
5,1.3675768712951E+018,Thu Mar 04 20:45:09 +0000 2021,1.3675768712951E+018,1.3675768712951E+018,These jets are super fast. I managed to capture a few good ones. #Nikon #nikonphotography #SriLanka #airshow https://t.co/36AzB06zS7,False,"[0, 108]","{'hashtags': [{'text': 'Nikon', 'indices': [65, 71]}, {'text': 'nikonphotography', 'indices': [72, 89]}, {'text': 'SriLanka', 'indices': [90, 99]}, {'text': 'airshow', 'indices': [100, 108]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1367576868509999104, 'id_str': '1367576868509999104', 'indices': [109, 132], 'media_url': 'http://pbs.twimg.com/media/Evqb6oqUYAAOyNY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Evqb6oqUYAAOyNY.jpg', 'url': 'https://t.co/36AzB06zS7', 'display_url': 'pic.twitter.com/36AzB06zS7', 'expanded_url': 'https://twitter.com/lordryanjohnson/status/1367576871295098882/photo/1', 'type': 'photo', 'original_info': {'width': 2048, 'height': 1073, 'focus_rects': [{'x': 132, 'y': 0, 'h': 1073, 'w': 1916}, {'x': 975, 'y': 0, 'h': 1073, 'w': 1073}, {'x': 1107, 'y': 0, 'h': 1073, 'w': 941}, {'x': 1315, 'y': 0, 'h': 1073, 'w': 537}, {'x': 0, 'y': 0, 'h': 1073, 'w': 2048}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1073, 'resize': 'fit'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 629, 'resize': 'fit'}}, 'features': {'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}, 'medium': {'faces': []}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,3168455894,3168455894,,,,,False,0,3,0,0,1.3675768712951E+018,1.3675768712951E+018,False,False,en,,"{'media': [{'id': 1367576868509999104, 'id_str': '1367576868509999104', 'indices': [109, 132], 'media_url': 'http://pbs.twimg.com/media/Evqb6oqUYAAOyNY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Evqb6oqUYAAOyNY.jpg', 'url': 'https://t.co/36AzB06zS7', 'display_url': 'pic.twitter.com/36AzB06zS7', 'expanded_url': 'https://twitter.com/lordryanjohnson/status/1367576871295098882/photo/1', 'type': 'photo', 'original_info': {'width': 2048, 'height': 1073, 'focus_rects': [{'x': 132, 'y': 0, 'h': 1073, 'w': 1916}, {'x': 975, 'y': 0, 'h': 1073, 'w': 1073}, {'x': 1107, 'y': 0, 'h': 1073, 'w': 941}, {'x': 1315, 'y': 0, 'h': 1073, 'w': 537}, {'x': 0, 'y': 0, 'h': 1073, 'w': 2048}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1073, 'resize': 'fit'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 629, 'resize': 'fit'}}, 'features': {'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}, 'medium': {'faces': []}}, 'media_key': '3_1367576868509999104', 'ext_media_color': {'palette': [{'rgb': {'red': 217, 'green': 188, 'blue': 144}, 'percentage': 98.41}, {'rgb': {'red': 76, 'green': 63, 'blue': 51}, 'percentage': 0.99}, {'rgb': {'red': 143, 'green': 127, 'blue': 119}, 'percentage': 0.58}]}, 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,,,,,0
6,1.36674840371613E+018,Tue Mar 02 13:53:07 +0000 2021,1.36674840371613E+018,1.36674840371613E+018,@Danuka96 අඩෝ සසිනි උබව මතක් කරා,False,"[10, 32]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Danuka96', 'name': 'Danuka💰🎖️️', 'id': 4056724218, 'id_str': '4056724218', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.36674780481988E+018,1.36674780481988E+018,4056724218,4056724218,Danuka96,1.2515324234074E+018,1.2515324234074E+018,,,,,False,0,2,1,0,1.36674780481988E+018,1.36674780481988E+018,False,False,si,,,,,,,,,,0
7,1.35031102966258E+018,Sat Jan 16 05:16:51 +0000 2021,1.35031102966258E+018,1.35031102966258E+018,@tellmeaboutit30 @pradeeban @Doritos @SKYYVodka @7UP Ow ow machan. 😁😁Once had this parking the car in front of Nuwara Eliya lake in December.... After coming to the room 🤪😜,False,"[53, 172]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tellmeaboutit30', 'name': 'Janaka', 'id': 1384336298, 'id_str': '1384336298', 'indices': [0, 16]}, {'screen_name': 'pradeeban', 'name': 'Pradeeban', 'id': 26684663, 'id_str': '26684663', 'indices': [17, 27]}, {'screen_name': 'Doritos', 'name': 'Doritos', 'id': 31143489, 'id_str': '31143489', 'indices': [28, 36]}, {'screen_name': 'SKYYVodka', 'name': 'SKYY Vodka', 'id': 74584446, 'id_str': '74584446', 'indices': [37, 47]}, {'screen_name': '7UP', 'name': '7UP', 'id': 259370909, 'id_str': '259370909', 'indices': [48, 52]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.35031016104321E+018,1.35031016104321E+018,1384336298,1384336298,tellmeaboutit30,2568259196,2568259196,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,0,1,1,0,1.35023270036029E+018,1.35023270036029E+018,False,False,en,,,,,,,,,,0
8,1.3681306354836E+018,Sat Mar 06 09:25:36 +0000 2021,1.3681306354836E+018,1.3681306354836E+018,@ItsmeSuppa අඩෝ 🤣,False,"[12, 17]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsmeSuppa', 'name': 'The Notch', 'id': 3797363534, 'id_str': '3797363534', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.36813025525317E+018,1.36813025525317E+018,3797363534,3797363534,ItsmeSuppa,1.2515324234074E+018,1.2515324234074E+018,,,,,False,0,1,1,0,1.36809314590952E+018,1.36809314590952E+018,False,False,si,,,,,,,,,,0
9,1.36700309658125E+018,Wed Mar 03 06:45:10 +0000 2021,1.36700309658125E+018,1.36700309658125E+018,@nipuna__d අඩෝ අලුත් නෑදෑයො🌚😂,False,"[11, 29]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nipuna__d', 'name': 'සැන්ඩි 🍀🦇🇱🇰', 'id': 247162345, 'id_str': '247162345', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.36700241332493E+018,1.36700241332493E+018,247162345,247162345,nipuna__d,1.04969233122436E+018,1.04969233122436E+018,,,,,False,0,2,1,0,1.36700241332493E+018,1.36700241332493E+018,False,False,si,,,,,,,,,,0
